strain	Accession	source	country	division	location	date	original_annotated_subtype	original_annotated_genotype	clade_membership
HCV/S152_20061020_NF_B15/MZ556863/USA/2006	MZ556863	ncbi	USA	?	?	2006-10-20	?	?	1
HCV/S152_20061020_NF_B16/MZ556864/USA/2006	MZ556864	ncbi	USA	?	?	2006-10-20	?	?	?
HCV/S152_20061020_NF_B17/MZ556865/USA/2006	MZ556865	ncbi	USA	?	?	2006-10-20	?	?	1
HCV/S152_20061020_NF_B20/MZ556866/USA/2006	MZ556866	ncbi	USA	?	?	2006-10-20	?	?	1
HCV/S152_20061020_NF_B21/MZ556867/USA/2006	MZ556867	ncbi	USA	?	?	2006-10-20	?	?	?
HCV/S152_20061020_NF_B25/MZ556868/USA/2006	MZ556868	ncbi	USA	?	?	2006-10-20	?	?	1
HCV/S152_20061020_NF_B26/MZ556869/USA/2006	MZ556869	ncbi	USA	?	?	2006-10-20	?	?	?
HCV/S152_20061020_NF_B28/MZ556870/USA/2006	MZ556870	ncbi	USA	?	?	2006-10-20	?	?	?
HCV/S152_20061120_NF_A05/MZ556871/USA/2006	MZ556871	ncbi	USA	?	?	2006-11-20	?	?	?
HCV/S152_20061120_NF_A08/MZ556872/USA/2006	MZ556872	ncbi	USA	?	?	2006-11-20	?	?	?
HCV/S152_20061120_NF_A09/MZ556873/USA/2006	MZ556873	ncbi	USA	?	?	2006-11-20	?	?	?
HCV/S152_20061120_NF_A10/MZ556874/USA/2006	MZ556874	ncbi	USA	?	?	2006-11-20	?	?	?
HCV/S152_20061120_NF_A15/MZ556875/USA/2006	MZ556875	ncbi	USA	?	?	2006-11-20	?	?	1
HCV/S152_20061120_NF_A16/MZ556876/USA/2006	MZ556876	ncbi	USA	?	?	2006-11-20	?	?	?
HCV/S152_20061120_NF_B02/MZ556877/USA/2006	MZ556877	ncbi	USA	?	?	2006-11-20	?	?	1
HCV/S152_20061120_NF_B03/MZ556878/USA/2006	MZ556878	ncbi	USA	?	?	2006-11-20	?	?	1
HCV/S152_20061120_NF_B04/MZ556879/USA/2006	MZ556879	ncbi	USA	?	?	2006-11-20	?	?	?
HCV/S152_20061120_NF_B05/MZ556880/USA/2006	MZ556880	ncbi	USA	?	?	2006-11-20	?	?	1
HCV/S152_20061120_NF_B06/MZ556881/USA/2006	MZ556881	ncbi	USA	?	?	2006-11-20	?	?	?
HCV/S152_20061120_NF_B07/MZ556882/USA/2006	MZ556882	ncbi	USA	?	?	2006-11-20	?	?	1
HCV/S152_20061120_NF_B08/MZ556883/USA/2006	MZ556883	ncbi	USA	?	?	2006-11-20	?	?	?
HCV/S152_20061120_NF_B09/MZ556884/USA/2006	MZ556884	ncbi	USA	?	?	2006-11-20	?	?	?
HCV/S152_20061120_NF_B10/MZ556885/USA/2006	MZ556885	ncbi	USA	?	?	2006-11-20	?	?	?
HCV/S152_20061120_NF_B13/MZ556886/USA/2006	MZ556886	ncbi	USA	?	?	2006-11-20	?	?	?
HCV/S152_20061120_NF_B14/MZ556887/USA/2006	MZ556887	ncbi	USA	?	?	2006-11-20	?	?	?
HCV/S152_20061120_NF_B19/MZ556888/USA/2006	MZ556888	ncbi	USA	?	?	2006-11-20	?	?	?
HCV/S152_20061120_NF_B21/MZ556889/USA/2006	MZ556889	ncbi	USA	?	?	2006-11-20	?	?	?
HCV/S152_20061120_NF_C01/MZ556890/USA/2006	MZ556890	ncbi	USA	?	?	2006-11-20	?	?	?
HCV/S152_20061120_NF_C04/MZ556891/USA/2006	MZ556891	ncbi	USA	?	?	2006-11-20	?	?	1
HCV/S152_20061120_NF_C08/MZ556892/USA/2006	MZ556892	ncbi	USA	?	?	2006-11-20	?	?	?
HCV/S152_20061120_NF_C09/MZ556893/USA/2006	MZ556893	ncbi	USA	?	?	2006-11-20	?	?	?
HCV/S152_20061120_NF_C11/MZ556894/USA/2006	MZ556894	ncbi	USA	?	?	2006-11-20	?	?	?
HCV/S152_20061120_NF_C13/MZ556895/USA/2006	MZ556895	ncbi	USA	?	?	2006-11-20	?	?	?
HCV/S152_20061120_NF_C14/MZ556896/USA/2006	MZ556896	ncbi	USA	?	?	2006-11-20	?	?	?
HCV/S152_20061120_NF_C15/MZ556897/USA/2006	MZ556897	ncbi	USA	?	?	2006-11-20	?	?	1
HCV/S152_20061120_NF_C17/MZ556898/USA/2006	MZ556898	ncbi	USA	?	?	2006-11-20	?	?	?
HCV/S152_20061120_NF_C18/MZ556899/USA/2006	MZ556899	ncbi	USA	?	?	2006-11-20	?	?	?
HCV/S152_20061120_NF_C20/MZ556900/USA/2006	MZ556900	ncbi	USA	?	?	2006-11-20	?	?	?
HCV/S152_20061120_NF_C23/MZ556901/USA/2006	MZ556901	ncbi	USA	?	?	2006-11-20	?	?	1
HCV/S152_20071126_NF_A01/MZ556902/USA/2007	MZ556902	ncbi	USA	?	?	2007-11-26	?	?	1
HCV/S152_20071126_NF_A02/MZ556903/USA/2007	MZ556903	ncbi	USA	?	?	2007-11-26	?	?	1
HCV/S152_20071126_NF_A04/MZ556904/USA/2007	MZ556904	ncbi	USA	?	?	2007-11-26	?	?	1
HCV/S152_20071126_NF_A05/MZ556905/USA/2007	MZ556905	ncbi	USA	?	?	2007-11-26	?	?	1
HCV/S152_20071126_NF_A07/MZ556906/USA/2007	MZ556906	ncbi	USA	?	?	2007-11-26	?	?	1
HCV/S152_20071126_NF_A08/MZ556907/USA/2007	MZ556907	ncbi	USA	?	?	2007-11-26	?	?	?
HCV/S152_20071126_NF_A09/MZ556908/USA/2007	MZ556908	ncbi	USA	?	?	2007-11-26	?	?	1
HCV/S152_20071126_NF_A10/MZ556909/USA/2007	MZ556909	ncbi	USA	?	?	2007-11-26	?	?	1
HCV/S152_20071126_NF_A11/MZ556910/USA/2007	MZ556910	ncbi	USA	?	?	2007-11-26	?	?	1
HCV/S152_20071126_NF_A14/MZ556911/USA/2007	MZ556911	ncbi	USA	?	?	2007-11-26	?	?	1
HCV/S152_20071126_NF_A15/MZ556912/USA/2007	MZ556912	ncbi	USA	?	?	2007-11-26	?	?	?
HCV/S152_20071126_NF_B01/MZ556913/USA/2007	MZ556913	ncbi	USA	?	?	2007-11-26	?	?	1
HCV/S152_20071126_NF_B02/MZ556914/USA/2007	MZ556914	ncbi	USA	?	?	2007-11-26	?	?	1
HCV/S152_20071126_NF_B03/MZ556915/USA/2007	MZ556915	ncbi	USA	?	?	2007-11-26	?	?	?
HCV/S152_20071126_NF_B05/MZ556916/USA/2007	MZ556916	ncbi	USA	?	?	2007-11-26	?	?	1
HCV/S152_20071126_NF_B06/MZ556917/USA/2007	MZ556917	ncbi	USA	?	?	2007-11-26	?	?	1
HCV/S152_20071126_NF_B07/MZ556918/USA/2007	MZ556918	ncbi	USA	?	?	2007-11-26	?	?	1
HCV/S152_20071126_NF_B09/MZ556919/USA/2007	MZ556919	ncbi	USA	?	?	2007-11-26	?	?	1
HCV/S152_20071126_NF_B10/MZ556920/USA/2007	MZ556920	ncbi	USA	?	?	2007-11-26	?	?	1
HCV/S152_20071126_NF_B11/MZ556921/USA/2007	MZ556921	ncbi	USA	?	?	2007-11-26	?	?	1
HCV/S152_20071126_NF_B12/MZ556922/USA/2007	MZ556922	ncbi	USA	?	?	2007-11-26	?	?	1
HCV/S152_20071126_NF_B13/MZ556923/USA/2007	MZ556923	ncbi	USA	?	?	2007-11-26	?	?	1
HCV/S152_20071126_NF_B14/MZ556924/USA/2007	MZ556924	ncbi	USA	?	?	2007-11-26	?	?	1
HCV/S152_20071126_NF_B16/MZ556925/USA/2007	MZ556925	ncbi	USA	?	?	2007-11-26	?	?	1
HCV/S152_20071126_NF_C02/MZ556926/USA/2007	MZ556926	ncbi	USA	?	?	2007-11-26	?	?	1
HCV/S152_20071126_NF_C03/MZ556927/USA/2007	MZ556927	ncbi	USA	?	?	2007-11-26	?	?	1
HCV/S152_20071126_NF_T03/MZ556928/USA/2007	MZ556928	ncbi	USA	?	?	2007-11-26	?	?	1
HCV/S152_20071126_NF_T04/MZ556929/USA/2007	MZ556929	ncbi	USA	?	?	2007-11-26	?	?	1
HCV/S152_20071126_NF_T06/MZ556930/USA/2007	MZ556930	ncbi	USA	?	?	2007-11-26	?	?	1
HCV/S152_20071126_NF_T07/MZ556931/USA/2007	MZ556931	ncbi	USA	?	?	2007-11-26	?	?	1
HCV/S152_20071126_NF_T08/MZ556932/USA/2007	MZ556932	ncbi	USA	?	?	2007-11-26	?	?	1
HCV/S152_20071126_NF_T09/MZ556933/USA/2007	MZ556933	ncbi	USA	?	?	2007-11-26	?	?	?
HCV/S152_20071126_NF_T11/MZ556934/USA/2007	MZ556934	ncbi	USA	?	?	2007-11-26	?	?	1
HCV/S152_20071126_NF_T13/MZ556935/USA/2007	MZ556935	ncbi	USA	?	?	2007-11-26	?	?	1
HCV/S152_20071126_NF_T14/MZ556936/USA/2007	MZ556936	ncbi	USA	?	?	2007-11-26	?	?	1
HCV/P63_021008/MW675788/UNITED-KINGDOM/2008	MW675788	ncbi	United Kingdom	?	?	2008-10-02	?	?	1
HCV/P63_110609/MW675789/UNITED-KINGDOM/2009	MW675789	ncbi	United Kingdom	?	?	2009-06-11	?	?	1
HCV/P75_210808/MW675790/UNITED-KINGDOM/2008	MW675790	ncbi	United Kingdom	?	?	2008-08-21	?	?	1
HCV/P75_091110/MW675791/UNITED-KINGDOM/2010	MW675791	ncbi	United Kingdom	?	?	2010-11-09	?	?	1
HCV/P101_161008/MW675792/UNITED-KINGDOM/2008	MW675792	ncbi	United Kingdom	?	?	2008-10-16	?	?	1
HCV/P131_260609/MW675793/UNITED-KINGDOM/2008	MW675793	ncbi	United Kingdom	?	?	2008-06-26	?	?	1
HCV/P131_260909/MW675794/UNITED-KINGDOM/2009	MW675794	ncbi	United Kingdom	?	?	2009-09-26	?	?	1
HCV/P131_031210/MW675795/UNITED-KINGDOM/2010	MW675795	ncbi	United Kingdom	?	?	2010-12-03	?	?	1
HCV/P131_060111/MW675796/UNITED-KINGDOM/2011	MW675796	ncbi	United Kingdom	?	?	2011-01-06	?	?	1
HCV/P155_181209/MW675797/UNITED-KINGDOM/2009	MW675797	ncbi	United Kingdom	?	?	2009-12-18	?	?	4
HCV/P155_210110/MW675798/UNITED-KINGDOM/2010	MW675798	ncbi	United Kingdom	?	?	2010-01-21	?	?	4
HCV/P155_220410/MW675799/UNITED-KINGDOM/2010	MW675799	ncbi	United Kingdom	?	?	2010-04-22	?	?	4
HCV/P155_241011/MW675800/UNITED-KINGDOM/2011	MW675800	ncbi	United Kingdom	?	?	2011-10-24	?	?	4
HCV/AUS806/MW629116/AUSTRALIA/2005	MW629116	ncbi	Australia	?	?	2005-10-24	?	?	6
HCV/AUS2403/MW629117/AUSTRALIA/2006	MW629117	ncbi	Australia	?	?	2006-10-05	?	?	1
HCV/UFORM0174/MW629118/USA/2011	MW629118	ncbi	USA	?	?	2011-11-16	?	?	4
HCV/UFOTL0177/MW629119/USA/2006	MW629119	ncbi	USA	?	?	2006-04-25	?	?	?
HCV/UFOTL0181/MW629120/USA/2002	MW629120	ncbi	USA	?	?	2002-03-25	?	?	1
HCV/1B_GLT1/OM222702/GERMANY/2014	OM222702	ncbi	Germany	?	?	2014-11-11	1b	1	1
HCV/1B_GLT1CC/OM222703/GERMANY/2021	OM222703	ncbi	Germany	?	?	2021-02-01	1b	1	1
HCV/HC21-0545/LC650200/JAPAN/2020	LC650200	ncbi	Japan	Gunma	?	2020-12-08	?	?	1
HCV/HCV036_S/OM896881/CHINA/2011	OM896881	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV037_S/OM896882/CHINA/2011	OM896882	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV044/OM896883/CHINA/2009	OM896883	ncbi	China	?	?	2009-XX-XX	?	?	3
HCV/HCV045_S/OM896884/CHINA/2009	OM896884	ncbi	China	?	?	2009-XX-XX	?	?	3
HCV/HCV046_S/OM896885/CHINA/2010	OM896885	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV047/OM896886/CHINA/2010	OM896886	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV048/OM896887/CHINA/2010	OM896887	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV049_S/OM896888/CHINA/2010	OM896888	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV050_S/OM896889/CHINA/2010	OM896889	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV052_S/OM896890/CHINA/2010	OM896890	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV053/OM896891/CHINA/2011	OM896891	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV054_S/OM896892/CHINA/2011	OM896892	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV055_S/OM896893/CHINA/2011	OM896893	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV056_S/OM896894/CHINA/2011	OM896894	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV057/OM896895/CHINA/2010	OM896895	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV058/OM896896/CHINA/2010	OM896896	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV109_S/OM896897/CHINA/2009	OM896897	ncbi	China	?	?	2009-XX-XX	?	?	3
HCV/HCV110_S/OM896898/CHINA/2010	OM896898	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV111_S/OM896899/CHINA/2010	OM896899	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV112_S/OM896900/CHINA/2010	OM896900	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV114_S/OM896901/CHINA/2010	OM896901	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV115_S/OM896902/CHINA/2010	OM896902	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV123/OM896903/CHINA/2011	OM896903	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV135_S/OM896904/CHINA/2011	OM896904	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV174_S/OM896905/CHINA/2011	OM896905	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV175/OM896906/CHINA/2011	OM896906	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV176_S/OM896907/CHINA/2011	OM896907	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV177/OM896908/CHINA/2011	OM896908	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV178_S/OM896909/CHINA/2011	OM896909	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV179_S/OM896910/CHINA/2011	OM896910	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV180_S/OM896911/CHINA/2011	OM896911	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV181_S/OM896912/CHINA/2011	OM896912	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV182/OM896913/CHINA/2011	OM896913	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV183_S/OM896914/CHINA/2011	OM896914	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV184/OM896915/CHINA/2011	OM896915	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV185/OM896916/CHINA/2011	OM896916	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV186_S/OM896917/CHINA/2011	OM896917	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV187/OM896918/CHINA/2011	OM896918	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV188/OM896919/CHINA/2011	OM896919	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV189/OM896920/CHINA/2011	OM896920	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV190/OM896921/CHINA/2011	OM896921	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV191_S/OM896922/CHINA/2011	OM896922	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV192_S/OM896923/CHINA/2011	OM896923	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV193/OM896924/CHINA/2011	OM896924	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV194/OM896925/CHINA/2011	OM896925	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV195_S/OM896926/CHINA/2011	OM896926	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV196/OM896927/CHINA/2011	OM896927	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV197_S/OM896928/CHINA/2011	OM896928	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV198_S/OM896929/CHINA/2011	OM896929	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV199_S/OM896930/CHINA/2011	OM896930	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV200/OM896931/CHINA/2011	OM896931	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV201_S/OM896932/CHINA/2011	OM896932	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV202/OM896933/CHINA/2011	OM896933	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV203_S/OM896934/CHINA/2011	OM896934	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV204_S/OM896935/CHINA/2011	OM896935	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV205_S/OM896936/CHINA/2011	OM896936	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV206_S/OM896937/CHINA/2011	OM896937	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV207/OM896938/CHINA/2011	OM896938	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV208_S/OM896939/CHINA/2011	OM896939	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV209/OM896940/CHINA/2011	OM896940	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV210_S/OM896941/CHINA/2011	OM896941	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV211/OM896942/CHINA/2011	OM896942	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV213_S/OM896943/CHINA/2010	OM896943	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV214_S/OM896944/CHINA/2010	OM896944	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV001/OM896945/CHINA/2009	OM896945	ncbi	China	?	?	2009-XX-XX	?	?	3
HCV/HCV002/OM896946/CHINA/2008	OM896946	ncbi	China	?	?	2008-XX-XX	?	?	3
HCV/HCV003/OM896947/CHINA/2008	OM896947	ncbi	China	?	?	2008-XX-XX	?	?	3
HCV/HCV004/OM896948/CHINA/2009	OM896948	ncbi	China	?	?	2009-XX-XX	?	?	3
HCV/HCV005/OM896949/CHINA/2009	OM896949	ncbi	China	?	?	2009-XX-XX	?	?	3
HCV/HCV006/OM896950/CHINA/2009	OM896950	ncbi	China	?	?	2009-XX-XX	?	?	3
HCV/HCV007/OM896951/CHINA/2009	OM896951	ncbi	China	?	?	2009-XX-XX	?	?	3
HCV/HCV008/OM896952/CHINA/2009	OM896952	ncbi	China	?	?	2009-XX-XX	?	?	3
HCV/HCV009/OM896953/CHINA/2010	OM896953	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV010/OM896954/CHINA/2010	OM896954	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV011/OM896955/CHINA/2010	OM896955	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV012/OM896956/CHINA/2010	OM896956	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV013/OM896957/CHINA/2010	OM896957	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV014/OM896958/CHINA/2010	OM896958	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV015/OM896959/CHINA/2010	OM896959	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV016/OM896960/CHINA/2010	OM896960	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV017/OM896961/CHINA/2010	OM896961	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV018/OM896962/CHINA/2010	OM896962	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV019/OM896963/CHINA/2010	OM896963	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV020/OM896964/CHINA/2011	OM896964	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV021/OM896965/CHINA/2011	OM896965	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV022/OM896966/CHINA/2011	OM896966	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV023/OM896967/CHINA/2011	OM896967	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV024/OM896968/CHINA/2011	OM896968	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV025/OM896969/CHINA/2011	OM896969	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV027/OM896970/CHINA/2011	OM896970	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV029/OM896971/CHINA/2011	OM896971	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV031/OM896972/CHINA/2011	OM896972	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV032/OM896973/CHINA/2011	OM896973	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV033/OM896974/CHINA/2011	OM896974	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV034/OM896975/CHINA/2011	OM896975	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV035/OM896976/CHINA/2011	OM896976	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV038/OM896977/CHINA/2011	OM896977	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV039/OM896978/CHINA/2011	OM896978	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV040/OM896979/CHINA/2011	OM896979	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV041/OM896980/CHINA/2011	OM896980	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV043/OM896981/CHINA/2010	OM896981	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV125/OM896982/CHINA/2010	OM896982	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV126/OM896983/CHINA/2010	OM896983	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV133/OM896984/CHINA/2010	OM896984	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV134/OM896985/CHINA/2010	OM896985	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV136/OM896986/CHINA/2010	OM896986	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV159/OM896987/CHINA/2011	OM896987	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV160/OM896988/CHINA/2011	OM896988	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV161/OM896989/CHINA/2011	OM896989	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV162/OM896990/CHINA/2011	OM896990	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV163/OM896991/CHINA/2011	OM896991	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV164/OM896992/CHINA/2011	OM896992	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV165/OM896993/CHINA/2011	OM896993	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV166/OM896994/CHINA/2011	OM896994	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV167/OM896995/CHINA/2011	OM896995	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV168/OM896996/CHINA/2011	OM896996	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV169/OM896997/CHINA/2011	OM896997	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV170/OM896998/CHINA/2011	OM896998	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV172/OM896999/CHINA/2011	OM896999	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV173/OM897000/CHINA/2011	OM897000	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/CH3ACC1/MZ325443/CHINA/2015	MZ325443	ncbi	China	?	?	2015-XX-XX	?	?	3
HCV/CH3ACC2/MZ325444/CHINA/2015	MZ325444	ncbi	China	?	?	2015-XX-XX	?	?	3
HCV/HCV051_S/MZ161145/CHINA/2010	MZ161145	ncbi	China	?	?	2010-12-01	?	?	6
HCV/HCV060/MZ161146/CHINA/2011	MZ161146	ncbi	China	?	?	2011-06-29	?	?	6
HCV/HCV061/MZ161147/CHINA/2011	MZ161147	ncbi	China	?	?	2011-06-29	?	?	6
HCV/HCV062/MZ161148/CHINA/2011	MZ161148	ncbi	China	?	?	2011-06-29	?	?	6
HCV/HCV063/MZ161149/CHINA/2011	MZ161149	ncbi	China	?	?	2011-06-30	?	?	6
HCV/HCV064/MZ161150/CHINA/2011	MZ161150	ncbi	China	?	?	2011-07-04	?	?	6
HCV/HCV065/MZ161151/CHINA/2011	MZ161151	ncbi	China	?	?	2011-07-15	?	?	6
HCV/HCV066/MZ161152/CHINA/2011	MZ161152	ncbi	China	?	?	2011-07-15	?	?	6
HCV/HCV067/MZ161153/CHINA/2011	MZ161153	ncbi	China	?	?	2011-07-19	?	?	6
HCV/HCV068_S/MZ161154/CHINA/2011	MZ161154	ncbi	China	?	?	2011-07-21	?	?	6
HCV/HCV069/MZ161155/CHINA/2011	MZ161155	ncbi	China	?	?	2011-07-21	?	?	6
HCV/HCV070_S/MZ161156/CHINA/2011	MZ161156	ncbi	China	?	?	2011-07-22	?	?	6
HCV/HCV071/MZ161157/CHINA/2011	MZ161157	ncbi	China	?	?	2011-08-16	?	?	6
HCV/HCV072_S/MZ161158/CHINA/2011	MZ161158	ncbi	China	?	?	2011-08-16	?	?	6
HCV/YNKH299A/MZ171128/CHINA/2018	MZ171128	ncbi	China	 Yunnan	?	2018-XX-XX	?	?	6
HCV/YNKH300A/MZ171129/CHINA/2018	MZ171129	ncbi	China	 Yunnan	?	2018-XX-XX	?	?	6
HCV/YNKH301A/MZ171130/CHINA/2018	MZ171130	ncbi	China	 Yunnan	?	2018-XX-XX	?	?	6
HCV/YNKH303A/MZ171131/CHINA/2018	MZ171131	ncbi	China	 Yunnan	?	2018-XX-XX	?	?	6
HCV/YNKH306A/MZ171132/CHINA/2018	MZ171132	ncbi	China	 Yunnan	?	2018-XX-XX	?	?	6
HCV/YNKH282A/MZ171133/CHINA/2018	MZ171133	ncbi	China	 Yunnan	?	2018-XX-XX	?	?	6
HCV/YNKH284/MZ504974/CHINA/2018	MZ504974	ncbi	China	 Yunnan	?	2018-XX-XX	?	?	6
HCV/YNKH304/MZ504975/CHINA/2019	MZ504975	ncbi	China	 Yunnan	?	2019-XX-XX	?	?	6
HCV/A106-POST-W12/MZ541884/DENMARK/2018	MZ541884	ncbi	Denmark	?	?	2018-05-XX	?	?	1
HCV/364772/MW689948/UNITED-KINGDOM/2014	MW689948	ncbi	United Kingdom	?	?	2014-06-03	?	?	1
HCV/365476/MW689949/UNITED-KINGDOM/2014	MW689949	ncbi	United Kingdom	?	?	2014-09-08	?	?	1
HCV/365479/MW689950/UNITED-KINGDOM/2013	MW689950	ncbi	United Kingdom	?	?	2013-05-22	?	?	1
HCV/365482/MW689951/UNITED-KINGDOM/2013	MW689951	ncbi	United Kingdom	?	?	2013-09-19	?	?	1
HCV/365485/MW689953/UNITED-KINGDOM/2013	MW689953	ncbi	United Kingdom	?	?	2013-11-07	?	?	1
HCV/365488/MW689954/UNITED-KINGDOM/2013	MW689954	ncbi	United Kingdom	?	?	2013-11-25	?	?	1
