strain	clade_membership	accession	date	source	country	original_annotated_genotype	original_annotated_subtype
HCV/SP114378/KY620456/UNKNOWN/2013	3		2013-12-30	ncbi			
HCV/SP118763/KY620457/UNKNOWN/2013	3		2013-12-27	ncbi			
HCV/SP154613/KY620416/UNKNOWN/2013	3		2013-12-16	ncbi			
HCV/SP185793/KY620417/UNKNOWN/2013	3		2013-12-16	ncbi			
HCV/SP184911/KY620450/UNKNOWN/2013	3		2013-12-20	ncbi			
HCV/3A_062/LC368365/JAPAN/2007	3		2007-XX-XX	ncbi	Japan	3	3a
HCV/SP101645/KY620467/UNKNOWN/2014	3		2014-01-06	ncbi			
HCV/SP186887/KY620589/UNKNOWN/2014	3		2014-02-12	ncbi			
HCV/3A_057/LC368360/JAPAN/2002	3		2002-XX-XX	ncbi	Japan	3	3a
HCV/SP159504/KY620448/UNKNOWN/2014	3		2014-01-09	ncbi			
HCV/SP182144/KY620449/UNKNOWN/2013	3		2013-12-18	ncbi			
HCV/UFOCM0005/KX621508/USA/2006	3		2006-08-28	ncbi	USA		
HCV/UFOHG0110/KX621513/USA/2003	3		2003-05-07	ncbi	USA		
HCV/SP155701/KY620476/UNKNOWN/2014	3		2014-01-07	ncbi			
HCV/SP159426/KY620406/UNKNOWN/2013	3		2013-12-05	ncbi			
HCV/SP188444/KY620405/UNKNOWN/2013	3		2013-12-05	ncbi			
HCV/SP196406/KY620418/UNKNOWN/2013	3		2013-12-16	ncbi			
HCV/SP164104/KY620588/UNKNOWN/2014	3		2014-01-23	ncbi			
HCV/UFOMN0312/KX621519/USA/2001	3		2001-08-08	ncbi	USA		
HCV/3A_061/LC368364/JAPAN/2007	3		2007-XX-XX	ncbi	Japan	3	3a
HCV/SP150457/KY620465/UNKNOWN/2014	3		2014-01-06	ncbi			
HCV/SP108420/KY620466/UNKNOWN/2014	3		2014-01-02	ncbi			
HCV/UFOTL0035/KX621530/USA/2002	3		2002-02-18	ncbi	USA		
HCV/SP103228/KY620472/UNKNOWN/2014	3		2014-01-07	ncbi			
HCV/2001049/MT632170/ISRAEL/2017	3		2017-04-06	ncbi	Israel		
HCV/SP102817/KY620388/UNKNOWN/2013	3		2013-12-09	ncbi			
HCV/SP171911/KY620459/UNKNOWN/2014	3		2014-01-06	ncbi			
HCV/SP155470/KY620460/UNKNOWN/2013	3		2013-12-23	ncbi			
HCV/3A_066/LC368369/JAPAN/2000	3		2000-XX-XX	ncbi	Japan	3	3a
HCV/SP184834/KY620461/UNKNOWN/2013	3		2013-12-30	ncbi			
HCV/SP177110/KY620478/UNKNOWN/2013	3		2013-12-27	ncbi			
HCV/SP141234/KY620590/UNKNOWN/2014	3		2014-01-28	ncbi			
HCV/SP110813/KY620485/UNKNOWN/2013	3		2013-12-27	ncbi			
HCV/SP160280/KY620825/UNKNOWN/2014	3		2014-03-27	ncbi			
HCV/SP118409/KY620387/UNKNOWN/2013	3		2013-12-05	ncbi			
HCV/SP183191/KY620436/UNKNOWN/2013	3		2013-12-16	ncbi			
HCV/SP197771/KY620435/UNKNOWN/2013	3		2013-12-19	ncbi			
HCV/SP161280/KY620434/UNKNOWN/2013	3		2013-12-19	ncbi			
HCV/SP152733/KY620617/UNKNOWN/2014	3		2014-02-03	ncbi			
HCV/SP187686/KY620863/UNKNOWN/2014	3		2014-03-27	ncbi			
HCV/SP104344/KY620711/UNKNOWN/2014	3		2014-03-07	ncbi			
HCV/SP150077/KY620797/UNKNOWN/2014	3		2014-03-19	ncbi			
HCV/SP100636/KY620709/UNKNOWN/2014	3		2014-02-27	ncbi			
HCV/SP152976/KY620677/UNKNOWN/2014	3		2014-02-24	ncbi			
HCV/SP123089/KY620753/UNKNOWN/2014	3		2014-03-12	ncbi			
HCV/SP158986/KY620593/UNKNOWN/2014	3		2014-01-28	ncbi			
HCV/SP188146/KY620739/UNKNOWN/2014	3		2014-03-11	ncbi			
HCV/SP187541/KY620727/UNKNOWN/2014	3		2014-03-03	ncbi			
HCV/SP176778/KY620704/UNKNOWN/2014	3		2014-03-04	ncbi			
HCV/SP189503/KY620789/UNKNOWN/2014	3		2014-03-17	ncbi			
HCV/SP105113/KY620662/UNKNOWN/2014	3		2014-02-17	ncbi			
HCV/SP133542/KY620663/UNKNOWN/2014	3		2014-02-19	ncbi			
HCV/SP128168/KY620792/UNKNOWN/2014	3		2014-03-17	ncbi			
HCV/SP139482/KY620793/UNKNOWN/2014	3		2014-03-19	ncbi			
HCV/SP119089/KY620691/UNKNOWN/2014	3		2014-03-03	ncbi			
HCV/SP103793/KY620693/UNKNOWN/2014	3		2014-02-26	ncbi			
HCV/SP162258/KY620694/UNKNOWN/2014	3		2014-03-06	ncbi			
HCV/SP181490/KY620695/UNKNOWN/2014	3		2014-03-03	ncbi			
HCV/SP185934/KY620784/UNKNOWN/2014	3		2014-03-17	ncbi			
HCV/SP136145/KY620692/UNKNOWN/2014	3		2014-03-03	ncbi			
HCV/3A_PATIENT_140/GQ356204/UNITED-KINGDOM/2005	3		2005-12-05	ncbi	United Kingdom	3	3a
HCV/SP146881/KY620745/UNKNOWN/2014	3		2014-03-11	ncbi			
HCV/3A_PATIENT_297/GQ356207/UNITED-KINGDOM/2006	3		2006-05-15	ncbi	United Kingdom	3	3a
HCV/3A_PATIENT_294/GQ356210/UNITED-KINGDOM/2006	3		2006-07-03	ncbi	United Kingdom	3	3a
HCV/SP164852/KY620770/UNKNOWN/2014	3		2014-03-14	ncbi			
HCV/SP158841/KY620785/UNKNOWN/2014	3		2014-03-17	ncbi			
HCV/SP120006/KY620726/UNKNOWN/2014	3		2014-03-10	ncbi			
HCV/SP117394/KY620760/UNKNOWN/2014	3		2014-03-10	ncbi			
HCV/SP147317/KY620605/UNKNOWN/2014	3		2014-01-23	ncbi			
HCV/SP109428/KY620610/UNKNOWN/2014	3		2014-01-31	ncbi			
HCV/SP100506/KY620609/UNKNOWN/2014	3		2014-01-29	ncbi			
HCV/SP173143/KY620607/UNKNOWN/2014	3		2014-02-07	ncbi			
HCV/SP161279/KY620608/UNKNOWN/2014	3		2014-01-29	ncbi			
HCV/SP193290/KY620631/UNKNOWN/2014	3		2014-02-12	ncbi			
HCV/SP165557/KY620632/UNKNOWN/2014	3		2014-02-10	ncbi			
HCV/SP179676/KY620799/UNKNOWN/2014	3		2014-03-24	ncbi			
HCV/SP191590/KY620800/UNKNOWN/2014	3		2014-03-20	ncbi			
HCV/SP134116/KY620725/UNKNOWN/2014	3		2014-03-07	ncbi			
HCV/SP180267/KY620724/UNKNOWN/2014	3		2014-03-07	ncbi			
HCV/SP186097/KY620722/UNKNOWN/2014	3		2014-03-07	ncbi			
HCV/SP136088/KY620723/UNKNOWN/2014	3		2014-03-05	ncbi			
HCV/2001065/MT632172/ISRAEL/2017	3		2017-04-26	ncbi	Israel		
HCV/SP137018/KY620721/UNKNOWN/2014	3		2014-03-06	ncbi			
HCV/BBAASH20/KX621447/USA/2002	3		2002-03-13	ncbi	USA		
HCV/SP137489/KY620720/UNKNOWN/2014	3		2014-03-06	ncbi			
HCV/2001106/MT632180/ISRAEL/2017	3		2017-05-25	ncbi	Israel		
HCV/SP183236/KY620719/UNKNOWN/2014	3		2014-03-05	ncbi			
HCV/SP131922/KY620717/UNKNOWN/2014	3		2014-03-07	ncbi			
HCV/SP115906/KY620718/UNKNOWN/2014	3		2014-03-10	ncbi			
HCV/SP186770/KY620688/UNKNOWN/2014	3		2014-02-25	ncbi			
HCV/SP188756/KY620629/UNKNOWN/2014	3		2014-02-13	ncbi			
HCV/SP109287/KY620630/UNKNOWN/2014	3		2014-02-14	ncbi			
HCV/SP192709/KY620807/UNKNOWN/2014	3		2014-03-31	ncbi			
HCV/SP197368/KY620689/UNKNOWN/2014	3		2014-02-24	ncbi			
HCV/SP189489/KY620690/UNKNOWN/2014	3		2014-03-03	ncbi			
HCV/SP175997/KY620643/UNKNOWN/2014	3		2014-02-14	ncbi			
HCV/SP178170/KY620710/UNKNOWN/2014	3		2014-03-11	ncbi			
HCV/SP195936/KY620644/UNKNOWN/2014	3		2014-02-17	ncbi			
HCV/SP172448/KY620645/UNKNOWN/2014	3		2014-02-19	ncbi			
HCV/SP101167/KY620706/UNKNOWN/2014	3		2014-02-26	ncbi			
HCV/3A_PATIENT_301/GQ356212/UNITED-KINGDOM/2007	3		2007-01-30	ncbi	United Kingdom	3	3a
HCV/SP147062/KY620769/UNKNOWN/2014	3		2014-03-12	ncbi			
HCV/SP143593/KY620804/UNKNOWN/2014	3		2014-03-20	ncbi			
HCV/SP193092/KY620766/UNKNOWN/2014	3		2014-03-19	ncbi			
HCV/SP191450/KY620765/UNKNOWN/2014	3		2014-03-14	ncbi			
HCV/SP158036/KY620768/UNKNOWN/2014	3		2014-03-27	ncbi			
HCV/SP133328/KY620612/UNKNOWN/2014	3		2014-02-03	ncbi			
HCV/SP178426/KY620751/UNKNOWN/2014	3		2014-03-12	ncbi			
HCV/SP181905/KY620752/UNKNOWN/2014	3		2014-03-11	ncbi			
HCV/SP170657/KY620642/UNKNOWN/2014	3		2014-02-17	ncbi			
HCV/SP151129/KY620715/UNKNOWN/2014	3		2014-03-10	ncbi			
HCV/SP111470/KY620811/UNKNOWN/2014	3		2014-03-19	ncbi			
HCV/SP190486/KY620857/UNKNOWN/2014	3		2014-04-01	ncbi			
HCV/SP170049/KY620742/UNKNOWN/2014	3		2014-03-11	ncbi			
HCV/SP136113/KY620790/UNKNOWN/2014	3		2014-03-21	ncbi			
HCV/SP181377/KY620780/UNKNOWN/2014	3		2014-03-24	ncbi			
HCV/SP192325/KY620801/UNKNOWN/2014	3		2014-03-20	ncbi			
HCV/SP122119/KY620707/UNKNOWN/2014	3		2014-02-25	ncbi			
HCV/SP178363/KY620708/UNKNOWN/2014	3		2014-02-28	ncbi			
HCV/SP170387/KY620795/UNKNOWN/2014	3		2014-03-19	ncbi			
HCV/SP158387/KY620798/UNKNOWN/2014	3		2014-03-17	ncbi			
HCV/SP104815/KY620803/UNKNOWN/2014	3		2014-03-21	ncbi			
HCV/3A_PATIENT_234/GQ356205/UNITED-KINGDOM/2006	3		2006-07-10	ncbi	United Kingdom	3	3a
HCV/SP185621/KY620685/UNKNOWN/2014	3		2014-02-24	ncbi			
HCV/SP166876/KY620686/UNKNOWN/2014	3		2014-02-27	ncbi			
HCV/SP198140/KY620687/UNKNOWN/2014	3		2014-03-04	ncbi			
HCV/SP164943/KY620682/UNKNOWN/2014	3		2014-03-03	ncbi			
HCV/SP117607/KY620813/UNKNOWN/2014	3		2014-03-21	ncbi			
HCV/SP191998/KY620683/UNKNOWN/2014	3		2014-03-03	ncbi			
HCV/SP171101/KY620684/UNKNOWN/2014	3		2014-03-03	ncbi			
HCV/SP149872/KY620705/UNKNOWN/2014	3		2014-03-04	ncbi			
HCV/SP181156/KY620810/UNKNOWN/2014	3		2014-03-24	ncbi			
HCV/SP187542/KY620619/UNKNOWN/2014	3		2014-02-04	ncbi			
HCV/HCV013/OM896957/CHINA/2010	3		2010-XX-XX	ncbi	China		
HCV/SP162131/KY620620/UNKNOWN/2014	3		2014-02-05	ncbi			
HCV/SP196318/KY620703/UNKNOWN/2014	3		2014-03-06	ncbi			
HCV/HITP300321/KX621501/AUSTRALIA/2008	3		2008-01-03	ncbi	Australia		
HCV/SP128058/KY620796/UNKNOWN/2014	3		2014-03-21	ncbi			
HCV/SP193406/KY620758/UNKNOWN/2014	3		2014-03-07	ncbi			
HCV/SP104469/KY620808/UNKNOWN/2014	3		2014-03-18	ncbi			
HCV/HITP400032/KU871294/AUSTRALIA/2012	3		2012-09-04	ncbi	Australia		
HCV/SP125456/KY620794/UNKNOWN/2014	3		2014-03-25	ncbi			
HCV/SP183749/KY620680/UNKNOWN/2014	3		2014-02-25	ncbi			
HCV/HITP300345_3A/KU871295/AUSTRALIA/2012	3		2012-04-16	ncbi	Australia		
HCV/SP114978/KY620595/UNKNOWN/2014	3		2014-01-29	ncbi			
HCV/SP127579/KY620858/UNKNOWN/2014	3		2014-04-02	ncbi			
HCV/SP160318/KY620596/UNKNOWN/2014	3		2014-01-29	ncbi			
HCV/SP113570/KY620772/UNKNOWN/2014	3		2014-03-17	ncbi			
HCV/SP150884/KY620597/UNKNOWN/2014	3		2014-01-29	ncbi			
HCV/AUS_811/KX621432/AUSTRALIA/2007	3		2007-01-15	ncbi	Australia		
HCV/SP132571/KY620668/UNKNOWN/2014	3		2014-02-24	ncbi			
HCV/SP136037/KY620749/UNKNOWN/2014	3		2014-03-07	ncbi			
HCV/SP134204/KY620599/UNKNOWN/2014	3		2014-02-04	ncbi			
HCV/SP155173/KY620750/UNKNOWN/2014	3		2014-03-10	ncbi			
HCV/SP100982/KY620618/UNKNOWN/2014	3		2014-02-18	ncbi			
HCV/SP114175/KY620771/UNKNOWN/2014	3		2014-03-17	ncbi			
HCV/HITP300241/KX621496/AUSTRALIA/2007	3		2007-03-14	ncbi	Australia		
HCV/SP145142/KY620812/UNKNOWN/2014	3		2014-03-24	ncbi			
HCV/SP168744/KY620598/UNKNOWN/2014	3		2014-01-29	ncbi			
HCV/SP151380/KY620802/UNKNOWN/2014	3		2014-03-17	ncbi			
HCV/SP100960/KY620543/UNKNOWN/2014	3		2014-01-15	ncbi			
HCV/SP147765/KY620623/UNKNOWN/2014	3		2014-02-12	ncbi			
HCV/SP180208/KY620744/UNKNOWN/2014	3		2014-03-17	ncbi			
HCV/3A_PATIENT_299/GQ356200/UNITED-KINGDOM/2006	3		2006-04-24	ncbi	United Kingdom	3	3a
HCV/SP149431/KY620664/UNKNOWN/2014	3		2014-02-18	ncbi			
HCV/SP169747/KY620788/UNKNOWN/2014	3		2014-03-18	ncbi			
HCV/SP156554/KY620665/UNKNOWN/2014	3		2014-02-18	ncbi			
HCV/3A_PATIENT_274/GQ356211/UNITED-KINGDOM/2006	3		2006-05-08	ncbi	United Kingdom	3	3a
HCV/SP182421/KY620659/UNKNOWN/2014	3		2014-02-14	ncbi			
HCV/SP145136/KY620747/UNKNOWN/2014	3		2014-03-07	ncbi			
HCV/HITP300277/KU871298/AUSTRALIA/2012	3		2012-01-20	ncbi	Australia		
HCV/SP113214/KY620661/UNKNOWN/2014	3		2014-02-24	ncbi			
HCV/SP170396/KY620746/UNKNOWN/2014	3		2014-03-07	ncbi			
HCV/AUS_1007/KX621433/AUSTRALIA/2007	3		2007-03-12	ncbi	Australia		
HCV/SP171443/KY620658/UNKNOWN/2014	3		2014-02-17	ncbi			
HCV/SP134668/KY620748/UNKNOWN/2014	3		2014-03-11	ncbi			
HCV/HITP300131/KX621494/AUSTRALIA/2007	3		2007-11-22	ncbi	Australia		
HCV/SP119170/KY620759/UNKNOWN/2014	3		2014-03-13	ncbi			
HCV/2001133/MT632186/ISRAEL/2017	3		2017-06-11	ncbi	Israel		
HCV/3A_PATIENT_135/GQ356209/UNITED-KINGDOM/2006	3		2006-02-13	ncbi	United Kingdom	3	3a
HCV/SP176316/KY620681/UNKNOWN/2014	3		2014-03-14	ncbi			
HCV/SP193474/KY620757/UNKNOWN/2014	3		2014-03-07	ncbi			
HCV/HITP300301/KX621499/AUSTRALIA/2007	3		2007-10-10	ncbi	Australia		
HCV/SP123469/KY620676/UNKNOWN/2014	3		2014-02-21	ncbi			
HCV/SP117756/KY620679/UNKNOWN/2014	3		2014-02-26	ncbi			
HCV/SP187120/KY620678/UNKNOWN/2014	3		2014-02-26	ncbi			
HCV/SP130509/KY620783/UNKNOWN/2014	3		2014-03-13	ncbi			
HCV/SP188326/KY620716/UNKNOWN/2014	3		2014-03-07	ncbi			
HCV/SP197867/KY620820/UNKNOWN/2014	3		2014-03-25	ncbi			
HCV/SP197589/KY620756/UNKNOWN/2014	3		2014-03-07	ncbi			
HCV/SP197710/KY620859/UNKNOWN/2014	3		2014-03-31	ncbi			
HCV/SP168575/KY620805/UNKNOWN/2014	3		2014-03-17	ncbi			
HCV/SP115255/KY620637/UNKNOWN/2014	3		2014-02-13	ncbi			
HCV/SP117277/KY620638/UNKNOWN/2014	3		2014-02-17	ncbi			
HCV/SP101124/KY620667/UNKNOWN/2014	3		2014-03-06	ncbi			
HCV/SP165564/KY620815/UNKNOWN/2014	3		2014-03-28	ncbi			
HCV/UFOTL0206/KX621534/USA/2001	3		2001-09-12	ncbi	USA		
HCV/SP145285/KY620697/UNKNOWN/2014	3		2014-02-24	ncbi			
HCV/SP179638/KY620698/UNKNOWN/2014	3		2014-02-27	ncbi			
HCV/SP135879/KY620633/UNKNOWN/2014	3		2014-02-13	ncbi			
HCV/SP146738/KY620736/UNKNOWN/2014	3		2014-03-07	ncbi			
HCV/SP135791/KY620699/UNKNOWN/2014	3		2014-02-24	ncbi			
HCV/SP125211/KY620700/UNKNOWN/2014	3		2014-03-03	ncbi			
HCV/SP197619/KY620660/UNKNOWN/2014	3		2014-02-14	ncbi			
HCV/SP174224/KY620735/UNKNOWN/2014	3		2014-03-06	ncbi			
HCV/SP170576/KY620764/UNKNOWN/2014	3		2014-03-07	ncbi			
HCV/SP151666/KY620763/UNKNOWN/2014	3		2014-03-17	ncbi			
HCV/SP157803/KY620601/UNKNOWN/2014	3		2014-01-30	ncbi			
HCV/HITP300231/KU871299/AUSTRALIA/2007	3		2007-02-13	ncbi	Australia		
HCV/AUS_1401/KX621434/AUSTRALIA/2006	3		2006-11-01	ncbi	Australia		
HCV/SP126203/KY620600/UNKNOWN/2014	3		2014-01-23	ncbi			
HCV/SP115083/KY620628/UNKNOWN/2014	3		2014-02-12	ncbi			
HCV/SP169868/KY620733/UNKNOWN/2014	3		2014-03-07	ncbi			
HCV/SP157109/KY620754/UNKNOWN/2014	3		2014-03-11	ncbi			
HCV/SP188390/KY620755/UNKNOWN/2014	3		2014-03-06	ncbi			
HCV/SP158798/KY620624/UNKNOWN/2014	3		2014-02-12	ncbi			
HCV/SP184044/KY620627/UNKNOWN/2014	3		2014-02-07	ncbi			
HCV/SP185290/KY620625/UNKNOWN/2014	3		2014-02-07	ncbi			
HCV/SP187166/KY620626/UNKNOWN/2014	3		2014-02-07	ncbi			
HCV/SP127335/KY620635/UNKNOWN/2014	3		2014-02-10	ncbi			
HCV/SP155136/KY620734/UNKNOWN/2014	3		2014-03-07	ncbi			
HCV/SP128741/KY620634/UNKNOWN/2014	3		2014-02-11	ncbi			
HCV/SP144732/KY620761/UNKNOWN/2014	3		2014-03-18	ncbi			
HCV/SP118431/KY620636/UNKNOWN/2014	3		2014-02-19	ncbi			
HCV/SP141051/KY620762/UNKNOWN/2014	3		2014-03-18	ncbi			
HCV/SP156208/KY620814/UNKNOWN/2014	3		2014-03-25	ncbi			
HCV/SP182644/KY620816/UNKNOWN/2014	3		2014-03-28	ncbi			
HCV/3A_PATIENT_331/GQ356214/UNITED-KINGDOM/2006	3		2006-11-10	ncbi	United Kingdom	3	3a
HCV/SP192364/KY620696/UNKNOWN/2014	3		2014-03-03	ncbi			
HCV/SP123807/KY620649/UNKNOWN/2014	3		2014-02-19	ncbi			
HCV/3A_PATIENT_275/GQ356201/UNITED-KINGDOM/2006	3		2006-05-08	ncbi	United Kingdom	3	3a
HCV/SP126651/KY620729/UNKNOWN/2014	3		2014-03-10	ncbi			
HCV/SP157827/KY620777/UNKNOWN/2014	3		2014-03-20	ncbi			
HCV/SP144169/KY620737/UNKNOWN/2014	3		2014-03-07	ncbi			
HCV/SP155456/KY620738/UNKNOWN/2014	3		2014-03-10	ncbi			
HCV/SP128918/KY620787/UNKNOWN/2014	3		2014-03-20	ncbi			
HCV/PATIENT_229/JF509175/UNITED-KINGDOM/2006	3		2006-05-22	ncbi	United Kingdom		
HCV/SP130177/KY620786/UNKNOWN/2014	3		2014-03-18	ncbi			
HCV/3A_PATIENT_129/GQ356217/UNITED-KINGDOM/2006	3		2006-02-09	ncbi	United Kingdom	3	3a
HCV/SP146277/KY620674/UNKNOWN/2014	3		2014-02-24	ncbi			
HCV/SP147036/KY620666/UNKNOWN/2014	3		2014-02-24	ncbi			
HCV/SP149223/KY620701/UNKNOWN/2014	3		2014-03-05	ncbi			
HCV/SP168755/KY620778/UNKNOWN/2014	3		2014-03-12	ncbi			
HCV/SP137053/KY620728/UNKNOWN/2014	3		2014-03-10	ncbi			
HCV/HEP4606/KX621480/CANADA/2007	3		2007-04-02	ncbi	Canada		
HCV/3A_067/LC368370/JAPAN/2011	3		2011-XX-XX	ncbi	Japan	3	3a
HCV/SP120855/KY620641/UNKNOWN/2014	3		2014-02-17	ncbi			
HCV/SP172179/KY620782/UNKNOWN/2014	3		2014-03-17	ncbi			
HCV/SP107292/KY620657/UNKNOWN/2014	3		2014-02-24	ncbi			
HCV/SP112932/KY620621/UNKNOWN/2014	3		2014-02-11	ncbi			
HCV/SP178898/KY620622/UNKNOWN/2014	3		2014-02-12	ncbi			
HCV/SP133692/KY620656/UNKNOWN/2014	3		2014-02-28	ncbi			
HCV/SP146741/KY620654/UNKNOWN/2014	3		2014-02-14	ncbi			
HCV/SP150610/KY620655/UNKNOWN/2014	3		2014-02-14	ncbi			
HCV/SP134257/KY620650/UNKNOWN/2014	3		2014-02-17	ncbi			
HCV/SP124446/KY620651/UNKNOWN/2014	3		2014-02-17	ncbi			
HCV/SP135292/KY620675/UNKNOWN/2014	3		2014-03-03	ncbi			
HCV/3A_PATIENT_298/GQ356208/UNITED-KINGDOM/2006	3		2006-05-15	ncbi	United Kingdom	3	3a
HCV/3A_PATIENT_219/GQ356215/UNITED-KINGDOM/2006	3		2006-07-03	ncbi	United Kingdom	3	3a
HCV/SP147944/KY620672/UNKNOWN/2014	3		2014-02-26	ncbi			
HCV/SP168993/KY620781/UNKNOWN/2014	3		2014-03-17	ncbi			
HCV/SP109841/KY620791/UNKNOWN/2014	3		2014-03-19	ncbi			
HCV/SP193748/KY620669/UNKNOWN/2014	3		2014-02-24	ncbi			
HCV/SP145389/KY620671/UNKNOWN/2014	3		2014-02-24	ncbi			
HCV/SP127376/KY620670/UNKNOWN/2014	3		2014-02-25	ncbi			
HCV/SP163048/KY620673/UNKNOWN/2014	3		2014-02-25	ncbi			
HCV/3A_070/LC368372/JAPAN/2006	3		2006-XX-XX	ncbi	Japan	3	3a
HCV/SP196865/KY620616/UNKNOWN/2014	3		2014-02-04	ncbi			
HCV/UFOVH0131/KX621539/USA/2006	3		2006-07-18	ncbi	USA		
HCV/SP165902/KY620614/UNKNOWN/2014	3		2014-02-10	ncbi			
HCV/SP170074/KY620615/UNKNOWN/2014	3		2014-02-05	ncbi			
HCV/SP158202/KY620646/UNKNOWN/2014	3		2014-02-18	ncbi			
HCV/SP135364/KY620702/UNKNOWN/2014	3		2014-03-07	ncbi			
HCV/SP182829/KY620648/UNKNOWN/2014	3		2014-02-19	ncbi			
HCV/SP125624/KY620776/UNKNOWN/2014	3		2014-03-14	ncbi			
HCV/SP173117/KY620741/UNKNOWN/2014	3		2014-03-10	ncbi			
HCV/SP187915/KY620779/UNKNOWN/2014	3		2014-03-11	ncbi			
HCV/SP145322/KY620652/UNKNOWN/2014	3		2014-02-25	ncbi			
HCV/SP197012/KY620731/UNKNOWN/2014	3		2014-03-07	ncbi			
HCV/SP198192/KY620732/UNKNOWN/2014	3		2014-03-07	ncbi			
HCV/SP177977/KY620639/UNKNOWN/2014	3		2014-02-13	ncbi			
HCV/SP133073/KY620653/UNKNOWN/2014	3		2014-02-14	ncbi			
HCV/SP121135/KY620740/UNKNOWN/2014	3		2014-03-11	ncbi			
HCV/SP175688/KY620743/UNKNOWN/2014	3		2014-03-14	ncbi			
HCV/SP177915/KY620730/UNKNOWN/2014	3		2014-03-11	ncbi			
HCV/SP160388/KY620775/UNKNOWN/2014	3		2014-03-19	ncbi			
HCV/SP179338/KY620640/UNKNOWN/2014	3		2014-02-18	ncbi			
HCV/SP156178/KY620773/UNKNOWN/2014	3		2014-03-19	ncbi			
HCV/SP199812/KY620774/UNKNOWN/2014	3		2014-03-17	ncbi			
HCV/SP159789/KY620438/UNKNOWN/2013	3		2013-12-18	ncbi			
HCV/SP160455/KY620547/UNKNOWN/2014	3		2014-01-15	ncbi			
HCV/SP156807/KY620571/UNKNOWN/2014	3		2014-01-29	ncbi			
HCV/SP167968/KY620819/UNKNOWN/2014	3		2014-03-25	ncbi			
HCV/SP185241/KY620613/UNKNOWN/2014	3		2014-02-12	ncbi			
HCV/SP140042/KY620364/UNKNOWN/2013	3		2013-11-25	ncbi			
HCV/SP156938/KY620861/UNKNOWN/2014	3		2014-03-28	ncbi			
HCV/SP118532/KY620363/UNKNOWN/2013	3		2013-11-28	ncbi			
HCV/SP153129/KY620594/UNKNOWN/2014	3		2014-01-29	ncbi			
HCV/SP112841/KY620362/UNKNOWN/2013	3		2013-11-21	ncbi			
HCV/SP126776/KY620862/UNKNOWN/2014	3		2014-03-27	ncbi			
HCV/SP132020/KY620439/UNKNOWN/2014	3		2014-01-07	ncbi			
HCV/SP172680/KY620440/UNKNOWN/2013	3		2013-12-16	ncbi			
HCV/SP169457/KY620441/UNKNOWN/2013	3		2013-12-23	ncbi			
HCV/SP159110/KY620592/UNKNOWN/2014	3		2014-01-30	ncbi			
HCV/SP123592/KY620824/UNKNOWN/2014	3		2014-03-25	ncbi			
HCV/SP177052/KY620503/UNKNOWN/2014	3		2014-01-03	ncbi			
HCV/SP100267/KY620576/UNKNOWN/2014	3		2014-01-23	ncbi			
HCV/SP138749/KY620572/UNKNOWN/2014	3		2014-01-21	ncbi			
HCV/SP136694/KY620573/UNKNOWN/2014	3		2014-01-22	ncbi			
HCV/SP183631/KY620575/UNKNOWN/2014	3		2014-01-22	ncbi			
HCV/SP107442/KY620713/UNKNOWN/2014	3		2014-03-07	ncbi			
3_NCVI/PK1	3		2009-12-XX	ncbi	Pakistan		
HCV/KPIS-01/MG428679/PAKISTAN/2016	3		2016-XX-XX	ncbi	Pakistan		
HCV/PK-1/GU294484/PAKISTAN/2008	3		2008-09-20	ncbi	Pakistan		
HCV/3A_PATIENT_288/GQ356213/UNITED-KINGDOM/2006	3		2006-05-22	ncbi	United Kingdom	3	3a
HCV/SP132310/KY620856/UNKNOWN/2014	3		2014-04-01	ncbi			
HCV/SP151861/KY620842/UNKNOWN/2014	3		2014-04-01	ncbi			
HCV/SP144364/KY620845/UNKNOWN/2014	3		2014-03-31	ncbi			
HCV/PATIENT_290/JF509176/UNITED-KINGDOM/2006	3		2006-05-15	ncbi	United Kingdom		
HCV/3A_PATIENT_115/GQ356202/UNITED-KINGDOM/2006	3		2006-01-23	ncbi	United Kingdom	3	3a
HCV/SP105162/KY620843/UNKNOWN/2014	3		2014-03-31	ncbi			
HCV/SP127882/KY620851/UNKNOWN/2014	3		2014-03-26	ncbi			
HCV/SP106783/KY620844/UNKNOWN/2014	3		2014-03-31	ncbi			
HCV/SP137115/KY620840/UNKNOWN/2014	3		2014-03-25	ncbi			
HCV/SP122831/KY620841/UNKNOWN/2014	3		2014-03-25	ncbi			
HCV/SP156832/KY620865/UNKNOWN/2014	3		2014-03-26	ncbi			
HCV/SP102157/KY620855/UNKNOWN/2014	3		2014-04-01	ncbi			
HCV/3A/GQ275355/INDIA/2003	3		2003-10-XX	ncbi	India	3	3a
HCV/SP109004/KY620854/UNKNOWN/2014	3		2014-03-31	ncbi			
HCV/3A_ILBSRAS_BLS/KF035123/INDIA/2012	3		2012-08-20	ncbi	India	3	3a
HCV/3A_ILBSRAS9/JQ717260/INDIA/2008	3		2008-09-24	ncbi	India	3	3a
HCV/3A_ILBSRAS_UG/KF035127/INDIA/2012	3		2012-08-20	ncbi	India	3	3a
HCV/3A_ILBSRAS8/JQ717259/INDIA/2010	3		2010-12-09	ncbi	India	3	3a
HCV/S553_20120822_FL_C24/OK552786/USA/2012	3		2011-06-11	ictv	USA	3	3a
